Full Name,Team,Position,Overall Avg FPT,Home Avg FPT,Away Avg FPT,FPT Std Dev,Floor Rate % (FPT<8),Ceiling Rate % (FPT>=20),Total Minutes,FPT per Minute,Games Played
Kostas Sloukas,Panathinaikos AKTOR Athens,G,13.3,13.14,13.48,9.75,31.58,23.68,810.5,0.624,38
Jared Butler,Crvena Zvezda Meridianbet Belgrade,G,11.41,10.44,12.17,9.83,40.63,15.63,640.1,0.57,32
Kenan Kamenjas,Dubai Basketball,C,6.17,7.81,4,9.83,71.43,10.71,304.1,0.569,28
Moses Wright,Zalgiris Kaunas,C,18.23,20.3,16.15,9.84,7.14,38.1,992.7,0.771,42
David Mccormack,FC Bayern Munich,C,8.08,8.81,7.36,9.84,64.29,14.29,433.5,0.522,28
Trent Forrest,Baskonia Vitoria-Gasteiz,G,15.08,17.31,13.29,9.96,22.22,33.33,644.5,0.632,27
Elie Okobo,AS Monaco,G,12.55,16.58,8.89,10.01,35.71,19.05,1073.8,0.491,42
Cedi Osman,Panathinaikos AKTOR Athens,F,13.59,12.98,14.17,10.25,33.33,23.08,1065,0.498,39
Saben Lee,Anadolu Efes Istanbul,G,8.29,11.9,4.93,10.28,59.26,22.22,453.1,0.494,27
Jean Montero,Valencia Basket,G,19.17,18.53,19.96,10.32,10.53,36.84,873.7,0.834,38
Justin Robinson,Paris Basketball,G,14.99,15.03,14.94,10.35,19.44,27.78,684,0.789,36
Tyrique Jones,Olympiacos Piraeus,C,13.8,14.9,12.3,10.37,36.36,27.27,640.8,0.711,33
Jordan Loyd,Anadolu Efes Istanbul,G,11.29,10.98,11.63,10.43,44.12,20.59,798.1,0.481,34
Elijah Bryant,Hapoel IBI Tel Aviv,G,21.01,21.38,20.65,10.48,7.89,44.74,1119.2,0.713,38
Andreas Obst,FC Bayern Munich,G,12.83,16.6,8.84,10.54,28.57,17.14,930.5,0.483,35
Carsen Edwards,Virtus Bologna,G,11.48,13.95,9.14,10.67,37.14,28.57,883.4,0.455,35
Will Clyburn,FC Barcelona,F,15.72,16.69,14.81,10.74,21.21,27.27,843.6,0.615,33
Kendrick Nunn,Panathinaikos AKTOR Athens,G,16.75,19.64,13.69,10.86,18.92,37.84,1100,0.563,37
Dzanan Musa,Dubai Basketball,F,16.67,24.68,8.66,11.43,16.67,38.89,480.4,0.625,18
Mckinley Wright Iv,Dubai Basketball,G,16.66,19.41,13.92,11.59,28.95,31.58,1123,0.564,38
Kevin Punter,FC Barcelona,G,14.16,17.54,10.95,12.33,30.77,25.64,1059.8,0.521,39
Kajus Mikalauskas,Zalgiris Kaunas,G,5.15,14.3,-4,12.94,50,0,18.1,0.567,2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
